ComunidadAutonoma,Provincia,NombreAyuntamiento,WebAyuntamiento,SedeElectronica,HttpStatus
Andalucía,Granada,Ayuntamiento de Albuñuelas,http://www.albuñuelas.es,https://sedealbunuelas.dipgra.es/opencms/opencms/sede,"HTTPConnectionPool(host='www.xn--albuuelas-o6a.es', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x0000023066258390>: Failed to resolve 'www.xn--albuuelas-o6a.es' ([Errno 11001] getaddrinfo failed)""))"
Andalucía,Granada,Ayuntamiento de Alhendín,https://alhendin.es,https://alhendin.sedelectronica.es/info.0,"HTTPSConnectionPool(host='alhendin.es', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1006)')))"
Andalucía,Granada,Ayuntamiento de Almuñecar,http://www.almunecar.info,,"HTTPSConnectionPool(host='www.almunecar.es', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1006)')))"
Andalucía,Granada,Ayuntamiento de Armilla,http://www.armilladigital.com,,"HTTPConnectionPool(host='www.armilladigital.com', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x000002306621CD10>: Failed to resolve 'www.armilladigital.com' ([Errno 11001] getaddrinfo failed)""))"
Andalucía,Granada,Ayuntamiento de Beas de Guadix,http://www.beasdeguadix.org,,"HTTPConnectionPool(host='www.beasdeguadix.org', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x000002306624EF90>: Failed to resolve 'www.beasdeguadix.org' ([Errno 11001] getaddrinfo failed)""))"
Andalucía,Granada,Ayuntamiento de Benalua de Las Villas,http://www.benaluadelasvillas.es,,403
Andalucía,Granada,Ayuntamiento de Benamaurel,http://www.benamaurel.com,,"HTTPConnectionPool(host='www.benamaurel.com', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x00000230662406D0>: Failed to resolve 'www.benamaurel.com' ([Errno 11001] getaddrinfo failed)""))"
Andalucía,Granada,Ayuntamiento de Berchules,http://www.ayuntamientodeberchules.com,,"HTTPConnectionPool(host='www.ayuntamientodeberchules.com', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x0000023066269BD0>: Failed to resolve 'www.ayuntamientodeberchules.com' ([Errno 11001] getaddrinfo failed)""))"
Andalucía,Granada,Ayuntamiento de Cajar,http://www.cajar.es,,"HTTPSConnectionPool(host='www.cajar.es', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.cajar.es'. (_ssl.c:1006)"")))"
Andalucía,Granada,Ayuntamiento de Capileira,http://www.capileira.es,,"HTTPSConnectionPool(host='www.capileira.es', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.capileira.es'. (_ssl.c:1006)"")))"
Andalucía,Granada,Ayuntamiento de Castril,http://www.ayuntamientodecastril.es,,500
Andalucía,Granada,Ayuntamiento de Chauchina,http://www.chauchina.es,,403
Andalucía,Granada,Ayuntamiento de Cijuela,http://www.ayuntamientocijuela.es,,403
Andalucía,Granada,Ayuntamiento de Cogollos Vega,http://www.aytocogollosvega.es,,"HTTPConnectionPool(host='www.aytocogollosvega.es', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x0000023066233D10>: Failed to resolve 'www.aytocogollosvega.es' ([Errno 11001] getaddrinfo failed)""))"
Andalucía,Granada,Ayuntamiento de Escuzar,http://www.escuzar.com,,"HTTPConnectionPool(host='www.escuzar.com', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x000002306625AD10>: Failed to resolve 'www.escuzar.com' ([Errno 11001] getaddrinfo failed)""))"
Andalucía,Granada,Ayuntamiento de Güevéjar,http://ayuntamientoguevejar.com,https://guevejar.sedelectronica.es,406
Andalucía,Granada,Ayuntamiento de Huescar,http://www.aytohuescar.com,,"HTTPSConnectionPool(host='www.aytohuescar.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1006)')))"
Andalucía,Granada,Ayuntamiento de Huétor de Santillán,https://www.huetorsantillan.es,https://huetordesantillan.sedelectronica.es,"HTTPSConnectionPool(host='www.huetorsantillan.es', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002306625A050>, 'Connection to www.huetorsantillan.es timed out. (connect timeout=5)'))"
Andalucía,Granada,Ayuntamiento de Huetor Vega,http://www.huetorvega.com,,406
Andalucía,Granada,Ayuntamiento de Játar,http://www.villadejatar.es,https://sedejatar.dipgra.es/opencms/opencms/sede,"HTTPSConnectionPool(host='www.villadejatar.es', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.villadejatar.es'. (_ssl.c:1006)"")))"
Andalucía,Granada,Ayuntamiento de Lachar,http://www.ayuntamientodelachar.es,,"HTTPConnectionPool(host='www.ayuntamientodelachar.es', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x000002306621C790>: Failed to resolve 'www.ayuntamientodelachar.es' ([Errno 11001] getaddrinfo failed)""))"
Andalucía,Granada,Ayuntamiento de Maracena,http://www.maracena.es,,403
Andalucía,Granada,Ayuntamiento de Moclin,http://www.ayuntamientodemoclin.com,,403
Andalucía,Granada,Ayuntamiento de Monachil,http://www.monachil.es,,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
Andalucía,Granada,Ayuntamiento de Montejicar,http://www.montejicar.org/,,"HTTPConnectionPool(host='www.montejicar.org', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x000002306626DD90>: Failed to resolve 'www.montejicar.org' ([Errno 11001] getaddrinfo failed)""))"
Andalucía,Granada,Ayuntamiento de Motril,http://www.motril.es/index.php?id=1,https://sede.motril.es/sta/CarpetaPublic/doEvent?APP_CODE=STA&PAGE_CODE=PTS2_HOME,"HTTPSConnectionPool(host='motril.es', port=443): Max retries exceeded with url: /?id=1 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1006)')))"
Andalucía,Granada,Ayuntamiento de Orgiva,http://www.aytoorgiva.org,,"HTTPSConnectionPool(host='www.aytoorgiva.org', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.aytoorgiva.org'. (_ssl.c:1006)"")))"
Andalucía,Granada,Ayuntamiento de Salar,http://www.salar.com,,"HTTPConnectionPool(host='www.salar.com', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x000002306624E950>: Failed to resolve 'www.salar.com' ([Errno 11002] getaddrinfo failed)""))"
Andalucía,Granada,Ayuntamiento de Trevelez,http://www.trevelez.es,,403
Andalucía,Granada,Ayuntamiento de Valderrubio,http://www.ayuntamientovalderrubio.es/,https://ayuntamientodevalderrubio.sedelectronica.es/,"HTTPConnectionPool(host='www.ayuntamientovalderrubio.es', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x0000023066259F50>: Failed to resolve 'www.ayuntamientovalderrubio.es' ([Errno 11001] getaddrinfo failed)""))"
Andalucía,Granada,Ayuntamiento de Velez de Benaudalla,http://www.velezdebenaudalla.org,,"HTTPSConnectionPool(host='www.velezdebenaudalla.org', port=443): Read timed out. (read timeout=5)"
Andalucía,Granada,Ayuntamiento de Villanueva Mesia,http://www.villanuevamesia.es,,403
Andalucía,Granada,Ayuntamiento de Lugros,http://www.lugros.net/,,"HTTPConnectionPool(host='www.lugros.net', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x000002306625B090>: Failed to resolve 'www.lugros.net' ([Errno 11001] getaddrinfo failed)""))"
Andalucía,Granada,Ayuntamiento de La Malaha,http://www.lamalaha.es,,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
Andalucía,Granada,Ayuntamiento de La Peza,http://www.lapeza.org,,"HTTPConnectionPool(host='www.lapeza.org', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x000002306626ABD0>: Failed to resolve 'www.lapeza.org' ([Errno 11001] getaddrinfo failed)""))"
Andalucía,Granada,Ayuntamiento de Quentar,http://www.quentar.es,,403
Andalucía,Granada,Ayuntamiento de Torre Cardela,http://www.torre-cardela.es,,403
Andalucía,Granada,Ayuntamiento de Villamena,http://www.villamena.es,,"HTTPConnectionPool(host='www.villamena.es', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x0000023066242550>: Failed to resolve 'www.villamena.es' ([Errno 11001] getaddrinfo failed)""))"
Andalucía,Granada,Ayuntamiento de Zafarraya,http://www.zafarraya.es,,403
Andalucía,Granada,Ayuntamiento de Jérez del Marquesado,http://www.marquesadozenete.es,https://jerezdelmarquesado.sedelectronica.es,406
Andalucía,Granada,Ayuntamiento de Torrenueva Costa,http://www.torrenuevagranada.es,https://sedetorrenueva.dipgra.es/opencms/opencms/sede,"HTTPConnectionPool(host='www.torrenuevagranada.es', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x0000023066243E50>: Failed to resolve 'www.torrenuevagranada.es' ([Errno 11002] getaddrinfo failed)""))"
Andalucía,Huelva,Ayuntamiento de Aljaraque,http://www.ayto-aljaraque.es,https://oficinavirtual.ayto-aljaraque.es/portal/entidades.do?error=-1&ent_id=1&idioma=1,"HTTPSConnectionPool(host='www.ayto-aljaraque.es', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1006)')))"
Andalucía,Huelva,Ayuntamiento de El Almendro,http://www.ayto-elalmendro.es,,"HTTPSConnectionPool(host='www.ayto-elalmendro.es', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1006)')))"
Andalucía,Huelva,Ayuntamiento de Almonaster La Real,http://www.almonasterlareal.es,,"HTTPSConnectionPool(host='www.almonasterlareal.es', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1006)')))"
Andalucía,Huelva,Ayuntamiento de Alosno,http://www.alosno.es/es/,https://alosno.sedelectronica.es,"HTTPSConnectionPool(host='www.alosno.es', port=443): Max retries exceeded with url: /es/ (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1006)')))"
Andalucía,Huelva,Ayuntamiento de Aracena,http://www.aracena.es,,"HTTPSConnectionPool(host='www.aracena.es', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1006)')))"
Andalucía,Huelva,Ayuntamiento de Arroyomolinos de León,http://www.arroyomolinosdeleon.es/es/,,"HTTPSConnectionPool(host='www.arroyomolinosdeleon.es', port=443): Max retries exceeded with url: /es/ (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1006)')))"
Andalucía,Huelva,Ayuntamiento de Beas,http://www.aytobeas.es/es/,https://beas.sedelectronica.es,"HTTPSConnectionPool(host='www.aytobeas.es', port=443): Max retries exceeded with url: /es/ (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1006)')))"
Andalucía,Huelva,Ayuntamiento de Bonares,http://www.bonares.es/es/,https://sede.bonares.es/opencms/opencms/sede,"HTTPSConnectionPool(host='www.bonares.es', port=443): Max retries exceeded with url: /es/ (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1006)')))"
Andalucía,Huelva,Ayuntamiento de Calañas,http://www.calanas.es/es/,https://calanas.sedelectronica.es,"HTTPSConnectionPool(host='www.calanas.es', port=443): Max retries exceeded with url: /es/ (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1006)')))"
Andalucía,Huelva,Ayuntamiento de Campofrío,www.villadecampofrio.es,,Invalid URL 'www.villadecampofrio.es': No scheme supplied. Perhaps you meant https://www.villadecampofrio.es?
Andalucía,Huelva,Ayuntamiento de Cartaya,https://www.ayto-cartaya.es,,403
Andalucía,Huelva,Ayuntamiento de El Cerro de Andévalo,http://www.elcerrodeandevalo.net,,400
Andalucía,Huelva,Ayuntamiento de Chucena,http://www.chucena.es,,"HTTPSConnectionPool(host='www.chucena.es', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1006)')))"
Andalucía,Huelva,Ayuntamiento de Corteconcepción,www.corteconcepcion.es,,Invalid URL 'www.corteconcepcion.es': No scheme supplied. Perhaps you meant https://www.corteconcepcion.es?
